analyte,ossl_name_level0,ossl_abbrev_level0,ossl_method_level0,ossl_unit_level0,target_name,target_method,target_unit,ossl_level1_transform,ossl_name_level1,include
Clay,clay.tot_usda.a334_w.pct,clay.tot,usda.a334,w.pct,clay.tot,usda.a334,w.pct,x,clay.tot_usda.a334_w.pct,TRUE
"Copper, Extractable, Mehlich3",cu.ext_usda.a1063_mg.kg,cu.ext,usda.a1063,mg.kg,cu.ext,usda.a1063,mg.kg,x,cu.ext_usda.a1063_mg.kg,TRUE
"Electrical Conductivity, iso 11265",ec_iso.11265_ds.m,ec,iso.11265,ds.m,ec,usda.a364,ds.m,x,ec_usda.a364_ds.m,TRUE
"Electrical Conductivity, (w/w)",ec_usda.a364_ds.m,ec,usda.a364,ds.m,ec,usda.a364,ds.m,x,ec_usda.a364_ds.m,TRUE
"Effervescense, 1N HCl",efferv_usda.a479_class,efferv,usda.a479,class,efferv,usda.a479,class,x,efferv_usda.a479_class,TRUE
"Iron, Crystalline, Total Pedogenic Iron",fe.dith_usda.a66_w.pct,fe.dith,usda.a66,w.pct,fe.dith,usda.a66,w.pct,x,fe.dith_usda.a66_w.pct,TRUE
"Iron, Extractable, Aqua Regia",fe.ext_aquaregia_g.kg,fe.ext,aquaregia,g.kg,fe.ext,aquaregia,g.kg,x,fe.ext_aquaregia_g.kg,TRUE
"Iron, Extractable, Mehlich3",fe.ext_usda.a1064_mg.kg,fe.ext,usda.a1064,mg.kg,fe.ext,usda.a1064,mg.kg,x,fe.ext_usda.a1064_mg.kg,TRUE
"Iron, Amorphous, Total Non-Crystalline Iron",fe.ox_usda.a60_w.pct,fe.ox,usda.a60,w.pct,fe.ox,usda.a60,w.pct,x,fe.ox_usda.a60_w.pct,TRUE
"Sodium, Extractable, Aqua Regia",k.ext_aquaregia_mg.kg,k.ext,aquaregia,mg.kg,k.ext,aquaregia,mg.kg,x,k.ext_aquaregia_mg.kg,TRUE
